density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,C-Uniform90,62,1.6852601146728536,0.6171938365852854,271.36673988532715,99.3828061634147
High,C-Uniform90,63,1.6299981764251734,0.596955223336644,271.4220018235749,99.40304477666336
High,C-Uniform90,64,3.012343075561491,1.103212236336482,270.03965692443853,98.89678776366353
High,C-Uniform90,65,2.3636249433757506,0.8656318003075423,270.6883750566243,99.13436819969247
High,C-Uniform90,66,3.8349668987101215,1.404482259316951,269.21703310128987,98.59551774068304
High,C-Uniform90,67,1.699863351253099,0.6225419887981406,271.3521366487469,99.37745801120184
High,C-Uniform90,68,3.6718839208254144,1.344756281157221,269.3801160791746,98.65524371884278
High,C-Uniform90,69,1.5367315771846288,0.5627981399823582,271.5152684228154,99.43720186001764
High,C-Uniform90,6,1.7908363242378262,0.6558590760140289,271.2611636757622,99.34414092398598
High,C-Uniform90,71,0.9390651121301564,0.3439143870508753,272.11293488786987,99.65608561294913
High,C-Uniform90,72,1.9538975662894575,0.7155770938463947,271.0981024337105,99.2844229061536
High,C-Uniform90,73,3.860410908203856,1.4138006343860714,269.1915890917962,98.58619936561394
High,C-Uniform90,74,3.539909100736471,1.2964230625435706,269.5120908992636,98.70357693745645
High,C-Uniform90,75,1.3784768591845815,0.5048404183762,271.67352314081546,99.4951595816238
High,C-Uniform90,76,1.7535791543589858,0.6422143600336148,271.29842084564103,99.3577856399664
High,C-Uniform90,77,5.414062052886827,1.982795237861956,267.6379379471132,98.01720476213804
High,C-Uniform90,78,2.793057120146013,1.022903007539228,270.25894287985403,98.97709699246076
High,C-Uniform90,7,2.439036578266942,0.8932498492107519,270.61296342173307,99.10675015078924
High,C-Uniform90,80,2.191260632101365,0.8025067137766304,270.86073936789865,99.19749328622338
High,C-Uniform90,81,3.0951266289996764,1.1335301074519415,269.9568733710004,98.86646989254808
High,C-Uniform90,82,2.1459097706116674,0.7858978401958847,270.9060902293883,99.21410215980411
High,C-Uniform90,83,0.8538523978531655,0.3127068828842731,272.19814760214683,99.68729311711571
High,C-Uniform90,84,1.9123351264799548,0.7003556562412855,271.1396648735201,99.29964434375871
High,C-Uniform90,85,1.3594936871115166,0.4978881997244175,271.6925063128885,99.5021118002756
High,C-Uniform90,88,3.221244394312399,1.1797182933332842,269.8307556056876,98.82028170666672
High,C-Uniform90,89,3.794114146583176,1.3895207310633784,269.25788585341684,98.61047926893664
High,C-Uniform90,8,0.625911645599621,0.2292280025781246,272.4260883544004,99.77077199742187
High,C-Uniform90,90,2.277494665884716,0.8340882564071004,270.7745053341153,99.1659117435929
High,C-Uniform90,91,1.2746055744122584,0.466799574591015,271.7773944255878,99.53320042540898
High,C-Uniform90,92,5.155224131065997,1.8880008683569416,267.896775868934,98.11199913164306
High,C-Uniform90,93,2.2121738657842047,0.8101657800654104,270.8398261342158,99.18983421993458
High,C-Uniform90,94,2.074743425118509,0.7598345462104322,270.9772565748815,99.24016545378956
High,C-Uniform90,95,5.542507739861523,2.0298359799091465,267.5094922601385,97.97016402009083
High,C-Uniform90,96,3.095585355463517,1.1336981071237409,269.9564146445365,98.86630189287624
High,C-Uniform90,97,2.765144756501528,1.0126806456284985,270.2868552434985,98.98731935437152
High,C-Uniform90,98,3.033374306663017,1.1109145168916603,270.018625693337,98.88908548310836
High,C-Uniform90,99,5.472572827696477,2.004223674500269,267.57942717230355,97.99577632549972
High,C-Uniform90,9,1.9817667505712813,0.7257836421528798,271.0702332494287,99.27421635784712
High,D-Uniform70,100,4.982772065217676,1.8248436434150543,268.0692279347824,98.17515635658496
High,D-Uniform70,10,2.6288144882257325,0.9627523285768764,270.4231855117743,99.03724767142312
High,D-Uniform70,11,5.163573492104196,1.8910586599271184,267.8884265078958,98.10894134007287
High,D-Uniform70,12,3.029957703320449,1.109663252171912,270.0220422966796,98.89033674782809
High,D-Uniform70,13,4.453765620678136,1.6311052915481798,268.59823437932187,98.36889470845182
High,D-Uniform70,14,4.972028202646456,1.820908912092369,268.07997179735355,98.17909108790762
High,D-Uniform70,15,3.968716637170953,1.4534655073652465,269.0832833628291,98.54653449263476
High,D-Uniform70,16,3.856933241184903,1.412527006278988,269.1950667588152,98.587472993721
High,D-Uniform70,17,2.23201190680688,0.8174310778924453,270.8199880931932,99.18256892210756
High,D-Uniform70,18,3.73299806647013,1.367138151879543,269.3190019335299,98.63286184812046
